Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Transaction,,,,2022-10-19 12:27:45,2022-10-19 12:27:47,2.390s,PASSED
,,,,,,,
Test Cases/RunQuery,,,,2022-10-19 12:27:45,2022-10-19 12:27:47,1.972s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-10-19 12:27:45,2022-10-19 12:27:45,0.016s,PASSED
"runFeatureFile(""Include/features/TransactionQuery/RunQueryTransaction.feature"")",,,,2022-10-19 12:27:46,2022-10-19 12:27:47,0.991s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-10-19 12:27:47,2022-10-19 12:27:47,0.466s,ERROR
